scenario_id,domain,document_id,expected_retrieval_chunk_ids,baseline_question,ground_truth_context,ground_truth_answer,question_type,answerability_label,reviewer_status
DIS-S004,natural_disaster,DIS-002,"[""DIS-002_C04""]",What should someone do if they become trapped in a building during a flood?,"If trapped in a building, go to its highest level. Do not climb into a closed attic. You may become trapped by rising floodwater. Go on the roof only if necessary. Signal for help.","Go to the highest level of the building, avoid a closed attic, go on the roof only if necessary, and signal for help.",procedural_guidance,yes,pending
DIS-S005,natural_disaster,DIS-002,"[""DIS-002_C03""]",Where can someone find information about the type of flood risk in their area?,Know your area's type of flood risk. Visit FEMA's Flood Map Service Center at https://msc.fema.gov/portal for information.,FEMA's Flood Map Service Center.,resource_seeking,yes,pending
DIS-S007,natural_disaster,DIS-003,"[""DIS-003_C01""]",Which shelter locations should be prioritized when a tornado warning is issued?,"IF YOU ARE UNDER A TORNADO WARNING, FIND SAFE SHELTER RIGHT AWAY. Go to a safe room, basement, or storm cellar. If there is no basement, get to a small, interior room on the lowest level. Stay away from windows, doors, and outside walls.","A safe room, basement or storm cellar first; if there is no basement, a small interior room on the lowest level, away from windows, doors and outside walls.",prioritization,yes,pending
DIS-S008,natural_disaster,DIS-003,"[""DIS-003_C02""]",What signs may indicate that a tornado is approaching?,"Know the signs of a tornado, including a rotating funnel-shaped cloud, an approaching cloud of debris, or a loud roar - similar to a freight train.","A rotating funnel-shaped cloud, an approaching cloud of debris, or a loud roar similar to a freight train.",factual_information,yes,pending
DIS-S009,natural_disaster,DIS-003,"[""DIS-003_C04""]",How does the guide recommend communicating with family and friends after a tornado?,Save your phone calls for emergencies. Phone systems are often down or busy after a disaster. Use text messaging or social media to communicate with family and friends.,"Save phone calls for emergencies because phone systems are often down or busy after a disaster, and use text messaging or social media instead.",procedural_guidance,yes,pending
DIS-S010,natural_disaster,DIS-004,"[""DIS-004_C03"", ""DIS-004_C05""]",What is the difference between a Flood Watch and a Flood Warning?,"A Flood Warning is issued when the hazardous weather event is imminent or already happening. A Flood Watch is issued when conditions are favorable for flooding. It does not mean flooding will occur, but it is possible.",A Flood Watch means conditions are favourable for flooding but it may not occur; a Flood Warning means flooding is imminent or already happening.,clarification,yes,pending
DIS-S012,natural_disaster,DIS-004,"[""DIS-004_C02""]",What action does the National Weather Service advise when a Flash Flood Warning is issued?,A Flash Flood Warning is issued when a flash flood is imminent or occurring. If you are in a flood prone area move immediately to high ground.,Move immediately to high ground if you are in a flood prone area.,factual_information,yes,pending
INF-S001,infrastructure_disruption,INF-001,"[""INF-001_C05""]",Is it safe to use a gas stove or oven to heat a home during a power outage?,"Stay fire safe. Use flashlights, lanterns and other battery-powered lights. Don't use gas stoves or candles to heat your home. Never use a gas stovetop, oven, grill or dryer to heat your home. Always use fireplaces, portable heaters and wood-burning stoves safely.","No. A gas stovetop, oven, grill or dryer must never be used to heat a home.",misinformation_correction,yes,pending
INF-S003,infrastructure_disruption,INF-001,"[""INF-001_C05""]",What precautions apply when using a vehicle as a source of power or warmth during an outage?,"Don't leave a vehicle running inside a garage, even if the garage door is left open. If you use your vehicle as a source of power or warmth, make sure to run it in a well-ventilated place outside.",Do not leave it running inside a garage even with the door open; run it in a well ventilated place outside.,procedural_guidance,yes,pending
INF-S004,infrastructure_disruption,INF-002,"[""INF-002_C01""]",What are the primary hazards to avoid when using a portable generator?,"The primary hazards to avoid when using a generator are carbon monoxide (CO) poisoning from the toxic engine exhaust, electric shock or electrocution, fire and burns.","Carbon monoxide poisoning from the engine exhaust, electric shock or electrocution, and fire and burns.",factual_information,yes,pending
INF-S005,infrastructure_disruption,INF-002,"[""INF-002_C04""]",Is it safe to power house wiring by plugging a generator into a wall outlet?,"NEVER try to power the house wiring by plugging the generator into a wall outlet, a practice known as backfeeding. This is extremely dangerous and presents an electrocution risk to utility workers and neighbors served by the same utility transformer. It also bypasses some of the built-in household circuit protection devices.","No. This practice, called backfeeding, risks electrocuting utility workers and neighbours on the same transformer and bypasses built-in circuit protection.",misinformation_correction,yes,pending
INF-S006,infrastructure_disruption,INF-002,"[""INF-002_C05""]",How should fuel for a generator be stored?,"Never store fuel for your generator in the home. Gasoline, propane, kerosene, and other flammable liquids should be stored outside of living areas in properly-labeled, non-glass safety containers. Do not store them near a fuel-burning appliance, such as a natural gas water heater in a garage.","Outside living areas, in properly labelled non-glass safety containers, and not near a fuel-burning appliance. Never in the home.",procedural_guidance,yes,pending
INF-S007,infrastructure_disruption,INF-003,"[""INF-003_C05"", ""INF-003_C06""]",What is the difference between refrigerated foods that must be discarded after a power outage and those that remain safe to eat?,"Discard the following if your refrigerator has been without power for more than 4 hours: raw, cooked, or leftover meat, poultry, fish, eggs; luncheon meat; casseroles, soups, stews; mixed salads; gravy and stuffing; milk, cream, yogurt and soft cheeses; cut fruits and vegetables. Safe-to-eat foods: high-acid foods such as mustard, ketchup, relishes, pickles, jams and jellies; foods that do not require refrigeration, such as whole fresh fruits and vegetables, unopened juices, and dried fruits.","Discard perishables such as meat, poultry, fish, eggs, dairy and cut produce after more than four hours without power. High-acid foods such as mustard, ketchup, pickles and jams, and foods that need no refrigeration such as whole fresh produce and unopened juices, remain safe.",clarification,yes,pending
INF-S008,infrastructure_disruption,INF-003,"[""INF-003_C03""]",Should perishable food be placed outside in the snow during a winter power outage?,"During a snowstorm, do not place perishable food out in the snow. Outside temperatures can vary and food can be exposed to unsanitary conditions and animals. Instead, make ice. Fill buckets, empty milk containers, or cans with water and leave them outside to freeze.",No. Outside temperatures vary and food can be exposed to unsanitary conditions and animals. Make ice instead by filling containers with water and leaving them outside to freeze.,misinformation_correction,yes,pending
INF-S009,infrastructure_disruption,INF-003,"[""INF-003_C02""]",What should be done in advance so that stored food stays safe if the power fails?,Keep an appliance thermometer in both the refrigerator and freezer. Group foods together in both the refrigerator and freezer. Keep the freezer full. Freeze refrigerated items that you may not need immediately.,"Keep an appliance thermometer in the refrigerator and freezer, group foods together, keep the freezer full, and freeze refrigerated items not needed immediately.",procedural_guidance,yes,pending
INF-S010,infrastructure_disruption,INF-004,"[""INF-004_C01""]",Where should someone look for official information during a power outage?,"Listen closely to reports from officials and energy suppliers with battery-operated radios, computers, mobile phones, and other mobile devices. Newspapers and local media reports are other tools. Officials and energy suppliers should communicate basic information about what to do during an emergency and the status of restoration efforts.","Reports from officials and energy suppliers, received through battery-operated radios, computers, mobile phones and other mobile devices, as well as newspapers and local media.",resource_seeking,yes,pending
INF-S013,infrastructure_disruption,INF-003,"[""INF-003_C10""]",Which foods and utensils should be discarded after floodwater has entered a home?,"Do not eat any food that may have come in contact with flood water. Discard any food that is not in a waterproof container. Also discard cardboard juice, milk and baby formula boxes and home canned foods. Inspect canned foods; discard any food in damaged cans. Discard wooden cutting boards, plastic utensils, baby bottle nipples, and pacifiers that may have come in contact with flood waters.","Any food that may have touched floodwater, food not in a waterproof container, cardboard cartons, home canned foods, food in damaged cans, and wooden cutting boards, plastic utensils, baby bottle nipples and pacifiers.",procedural_guidance,yes,pending
